Room Id:, 628fb1639230c4e1882ac952
Started At:, 5/26/2022, 12:58:22 PM

Participants
"colorCode","nickname","optionType","receiptCode","participantType"
"5/26/2022, 1:06:11 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","I don't get it? What do you mean ""what's the RTT?"""
"5/26/2022, 1:04:13 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","I find it quite difficult to believe that we are having a conversation on the topic"
"5/26/2022, 1:06:14 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","That's wrong"
"5/26/2022, 1:04:19 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","why?"
"5/26/2022, 1:06:44 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","There exists absolutely no ""hypocrisy"" within either party!"
"5/26/2022, 1:06:54 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","I feel so"
"5/26/2022, 1:04:58 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","so...you're changing your mind?"
"5/26/2022, 1:07:03 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","Did I ever?"
"5/26/2022, 1:05:06 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","because that's not what you said before"
"5/26/2022, 1:07:18 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","Maybe, that's neither here nor there"
"5/26/2022, 1:05:58 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","how are you answering me in the future? Is that why we can't discuss the hypocrosy topic?"
"5/26/2022, 1:07:59 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","What does the Constitution ""say"" about this issue. Do you have any answers at all?"
"5/26/2022, 1:06:35 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#CBAF9B","I don't know the answer to that. In fact, I doubt there is one, since the constitution doesn't assign roles to political parties or their members"
"5/26/2022, 1:09:18 PM","Welcome! The discussion question for this chat is: ""Who do you think is more hypocritical, Democrats or Republicans?""  Please say what you think about this, and spend the next 10 minutes discussing your reasons as thoroughly as possible.","620bd9c2555dab66f18a5d20","#B86EC1","The answer to the writing prompt is.."

Poll Responses
"time","question","qid","participantCode","choice"

----------------------------------

